image_name,data_name,obj_id,pose_id,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6,move_1,move_2,move_3,move_4,move_5,move_6
frame_0_0.png,frame_0,1,1,0.0,-1.1568340486194502,0.0,0.0,0.0,-19.998264510309,-2.5812541603294434,0.0,0.0,0.0,0.0,-4.269195441445085
frame_1_0.png,frame_1,1,2,0.0,-2.7163165092948964,0.0,0.0,0.0,-19.994211049927657,-4.718065500461332,0.0,0.0,0.0,0.0,2.3099596890589904
frame_2_0.png,frame_2,1,3,0.0,-2.638724490503058,0.0,0.0,0.0,-19.99256052382303,0.45820224642680607,0.0,0.0,0.0,0.0,0.5108800648582772
frame_3_0.png,frame_3,1,4,0.0,-1.9572168094076394,0.0,0.0,0.0,-19.97742126287836,-3.3313308010400267,0.0,0.0,0.0,0.0,1.2666653343764231
frame_4_0.png,frame_4,1,5,0.0,-2.955527368932653,0.0,0.0,0.0,-19.975923309317487,-1.3191115710217405,0.0,0.0,0.0,0.0,4.217712602857836
frame_5_0.png,frame_5,1,6,0.0,-2.8155543341614653,0.0,0.0,0.0,-19.953880262714662,2.7555447604860173,0.0,0.0,0.0,0.0,-0.35474759396965716
frame_6_0.png,frame_6,1,7,0.0,-2.405250734606255,0.0,0.0,0.0,-19.949964568974657,2.5027321769400523,0.0,0.0,0.0,0.0,-1.0563550843641547
frame_7_0.png,frame_7,1,8,0.0,-3.848207238721374,0.0,0.0,0.0,-19.946121777195316,-0.4386465036839029,0.0,0.0,0.0,0.0,1.1831441350383098
frame_8_0.png,frame_8,1,9,0.0,-3.1444048318747004,0.0,0.0,0.0,-19.934609049578548,2.6539273151931573,0.0,0.0,0.0,0.0,-3.6264685836467176
frame_9_0.png,frame_9,1,10,0.0,-2.498319964590205,0.0,0.0,0.0,-19.92434411751526,-2.1519760038854416,0.0,0.0,0.0,0.0,0.06322566582092204
frame_10_0.png,frame_10,1,11,0.0,-1.266164483832536,0.0,0.0,0.0,-19.920911510324025,4.418637968437123,0.0,0.0,0.0,0.0,-4.379373141421135
frame_11_0.png,frame_11,1,12,0.0,-3.314219741583421,0.0,0.0,0.0,-19.91887746245635,3.752132993790883,0.0,0.0,0.0,0.0,-4.652994685677017
frame_12_0.png,frame_12,1,13,0.0,-0.5062952748479725,0.0,0.0,0.0,-19.914464836808776,-3.5827471753580813,0.0,0.0,0.0,0.0,-0.9552743517074811
frame_13_0.png,frame_13,1,14,0.0,-0.1417804048770699,0.0,0.0,0.0,-19.908492931627464,2.637357639816096,0.0,0.0,0.0,0.0,-4.9572376091878905
frame_14_0.png,frame_14,1,15,0.0,-1.6837664603629134,0.0,0.0,0.0,-19.88653420821229,-4.739882864698531,0.0,0.0,0.0,0.0,4.3554866598547015
